case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.2,1192,77,199,200000,43,1443,218.6,1155,43,0,1270,7,5,126,0.992396,1.72862
LoraWAN 1 gateways,0.2,87,2,199,200000,43,1429,9.2,1155,0,1340,89,7,0,0,0,6.15883
LoraWAN 2 gateways,0.2,596,6,199,200000,43,1429,40.8889,1155,0,1429,603,7,-602,0,0,1.34913
LoraWAN 3 gateways,0.2,781,5,199,200000,43,1429,40.25,1155,0,1429,787,7,-786,0,0,7.15377
Multihop 1 gateways,0.3,1487,153,199,200000,43,2050,218.6,1155,138,0,1640,7,10,262,0.960049,1.8817
LoraWAN 1 gateways,0.3,120,0,199,200000,43,2010,9.2,1155,0,1890,120,7,0,0,0,6.37759
LoraWAN 2 gateways,0.3,809,11,199,200000,43,2010,40.8889,1155,0,2010,821,7,-820,0,0,1.39648
LoraWAN 3 gateways,0.3,1040,3,199,200000,43,2010,40.25,1155,0,2010,1044,7,-1043,0,0,7.40798
Multihop 1 gateways,0.4,1960,110,199,200000,43,2635,218.6,1155,169,0,2072,7,11,385,0.972776,2.02869
LoraWAN 1 gateways,0.4,142,4,199,200000,43,2522,9.2,1155,0,2376,146,7,0,0,0,6.57245
LoraWAN 2 gateways,0.4,1017,17,199,200000,43,2522,40.8889,1155,0,2522,1034,7,-1034,0,0,1.43885
LoraWAN 3 gateways,0.4,1332,19,199,200000,43,2522,40.25,1155,0,2522,1351,7,-1351,0,0,7.63438
Multihop 1 gateways,0.5,2070,300,199,200000,43,3137,218.6,1155,205,0,2371,7,10,552,0.971313,2.1489
LoraWAN 1 gateways,0.5,150,0,199,200000,43,2933,9.2,1155,0,2783,150,7,0,0,0,6.71899
LoraWAN 2 gateways,0.5,1173,18,199,200000,43,2933,40.8889,1155,0,2933,1191,7,-1191,0,0,1.46967
LoraWAN 3 gateways,0.5,1539,41,199,200000,43,2933,40.25,1155,0,2933,1581,7,-1580,0,0,7.80486
Multihop 1 gateways,0.6,2107,496,199,200000,43,3580,218.6,1155,325,0,2604,7,19,633,0.948345,2.23754
LoraWAN 1 gateways,0.6,194,4,199,200000,43,3300,9.2,1155,0,3102,198,7,0,0,0,6.85999
LoraWAN 2 gateways,0.6,1333,34,199,200000,43,3300,40.8889,1155,0,3300,1367,7,-1367,0,0,1.50385
LoraWAN 3 gateways,0.6,1741,31,199,200000,43,3300,40.25,1155,0,3300,1772,7,-1772,0,0,7.96796
Multihop 1 gateways,0.7,2497,337,199,200000,43,3965,218.6,1155,350,0,2834,7,16,765,0.944804,2.31602
LoraWAN 1 gateways,0.7,191,2,199,200000,43,3579,9.2,1155,0,3385,193,7,1,0,0,6.98084
LoraWAN 2 gateways,0.7,1441,31,199,200000,43,3579,40.8889,1155,0,3578,1472,7,-1471,0,0,1.52678
LoraWAN 3 gateways,0.7,1846,43,199,200000,43,3579,40.25,1155,0,3578,1889,7,-1888,0,0,8.10906
Multihop 1 gateways,0.8,2748,338,199,200000,43,4391,218.6,1155,332,0,3086,7,9,964,0.959727,2.40706
LoraWAN 1 gateways,0.8,214,0,199,200000,43,3885,9.2,1155,0,3671,214,7,0,0,0,7.0918
LoraWAN 2 gateways,0.8,1574,46,199,200000,43,3885,40.8889,1155,0,3885,1621,7,-1620,0,0,1.55047
LoraWAN 3 gateways,0.8,2035,33,199,200000,43,3885,40.25,1155,0,3885,2068,7,-2068,0,0,8.23808
Multihop 1 gateways,0.9,2795,374,199,200000,43,4750,218.6,1155,445,0,3169,7,7,1129,0.913045,2.45375
LoraWAN 1 gateways,0.9,228,4,199,200000,43,4145,9.2,1155,0,3913,232,7,0,0,0,7.21492
LoraWAN 2 gateways,0.9,1660,44,199,200000,43,4145,40.8889,1155,0,4145,1704,7,-1704,0,0,1.57689
LoraWAN 3 gateways,0.9,2137,46,199,200000,43,4145,40.25,1155,0,4145,2183,7,-2183,0,0,8.3812
Multihop 1 gateways,1,2999,357,199,200000,43,5089,218.6,1155,499,0,3356,7,27,1207,0.923723,2.51994
LoraWAN 1 gateways,1,239,4,199,200000,43,4360,9.2,1155,0,4117,243,7,0,0,0,7.27741
LoraWAN 2 gateways,1,1757,34,199,200000,43,4360,40.8889,1155,0,4360,1791,7,-1791,0,0,1.59092
LoraWAN 3 gateways,1,2234,62,199,200000,43,4360,40.25,1155,0,4360,2296,7,-2296,0,0,8.45372
