case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
LoraWAN 1 gateways,0.3,2744,106,180,1000000,215,8968,126224,1155,0,6118,2850,7,0,0,0
LoraWAN 2 gateways,0.3,4976,63,180,1000000,215,8968,228896,1155,0,8968,5039,7,-5039,0,0
LoraWAN 3 gateways,0.3,8522,185,180,1000000,215,8968,392012,1155,0,8968,8680,7,-8707,0,0
Multihop 1 gateways,0.4,10111,1090,180,1000000,215,11496,1108293,1155,63,0,11201,7,23,209,0.995438
LoraWAN 1 gateways,0.4,3480,138,180,1000000,215,11137,160080,1155,0,7519,3618,7,0,0,0
LoraWAN 2 gateways,0.4,6141,108,180,1000000,215,11137,282486,1155,0,11137,6249,7,-6249,0,0
LoraWAN 3 gateways,0.4,10513,288,180,1000000,215,11137,483598,1155,0,11137,10752,7,-10801,0,0
Multihop 1 gateways,0.5,11695,1477,180,1000000,215,13594,1266192,1155,106,0,13172,7,23,293,0.998719
LoraWAN 1 gateways,0.5,4072,133,180,1000000,215,12995,187312,1155,0,8790,4205,7,0,0,0
LoraWAN 2 gateways,0.5,7120,137,180,1000000,215,12995,327520,1155,0,12995,7257,7,-7257,0,0
LoraWAN 3 gateways,0.5,12228,413,180,1000000,215,12995,562488,1155,0,12995,12565,7,-12641,0,0
Multihop 1 gateways,0.6,12965,1935,180,1000000,215,15455,1404563,1155,103,0,14901,7,34,418,0.99897
LoraWAN 1 gateways,0.6,4513,251,180,1000000,215,14613,207598,1155,0,9849,4764,7,0,0,0
LoraWAN 2 gateways,0.6,8013,199,180,1000000,215,14613,368598,1155,0,14613,8212,7,-8212,0,0
LoraWAN 3 gateways,0.6,13739,470,180,1000000,215,14613,631994,1155,0,14613,14127,7,-14209,0,0
Multihop 1 gateways,0.7,14070,2410,180,1000000,215,17116,1511257,1155,128,0,16480,7,60,448,0.997632
LoraWAN 1 gateways,0.7,4872,263,180,1000000,215,16010,224112,1155,0,10875,5135,7,0,0,0
LoraWAN 2 gateways,0.7,8723,246,180,1000000,215,16010,401258,1155,0,16010,8969,7,-8969,0,0
LoraWAN 3 gateways,0.7,14967,633,180,1000000,215,16010,688482,1155,0,16010,15487,7,-15600,0,0
Multihop 1 gateways,0.8,14802,3156,180,1000000,215,18772,1576839,1155,168,0,17960,7,49,597,0.989503
LoraWAN 1 gateways,0.8,5266,277,180,1000000,215,17340,242236,1155,0,11797,5543,7,0,0,0
LoraWAN 2 gateways,0.8,9396,284,180,1000000,215,17340,432216,1155,0,17340,9680,7,-9680,0,0
LoraWAN 3 gateways,0.8,16197,704,180,1000000,215,17340,745062,1155,0,17340,16771,7,-16901,0,0
Multihop 1 gateways,0.9,16376,2860,180,1000000,215,20191,1763235,1155,215,0,19236,7,51,689,0.997669
LoraWAN 1 gateways,0.9,5692,324,180,1000000,215,18474,261832,1155,0,12458,6016,7,0,0,0
LoraWAN 2 gateways,0.9,10161,302,180,1000000,215,18474,467406,1155,0,18474,10464,7,-10463,0,0
LoraWAN 3 gateways,0.9,17211,828,180,1000000,215,18474,791706,1155,0,18474,17876,7,-18039,0,0
Multihop 1 gateways,1,17168,3377,180,1000000,215,21594,1829984,1155,232,0,20547,7,79,738,0.996908
LoraWAN 1 gateways,1,5992,305,180,1000000,215,19493,275632,1155,0,13195,6298,7,1,0,0
LoraWAN 2 gateways,1,10600,356,180,1000000,215,19493,487600,1155,0,19493,10957,7,-10956,0,0
LoraWAN 3 gateways,1,18161,883,180,1000000,215,19493,835406,1155,0,19493,18849,7,-19044,0,0
Multihop 1 gateways,0.1,3361,141,180,1000000,215,3514,334785,1155,2,0,3502,7,0,10,0.999033
LoraWAN 1 gateways,0.1,1182,17,180,1000000,215,3511,54372,1155,0,2312,1199,7,0,0,0
LoraWAN 2 gateways,0.1,2694,25,180,1000000,215,3511,123924,1155,0,3511,2719,7,-2719,0,0
LoraWAN 3 gateways,0.1,3299,21,180,1000000,215,3511,151754,1155,0,3511,3319,7,-3320,0,0
Multihop 1 gateways,0.2,6083,392,180,1000000,215,6549,604582,1155,17,0,6475,7,9,48,0.997349
LoraWAN 1 gateways,0.2,2226,48,180,1000000,215,6496,102396,1155,0,4222,2274,7,0,0,0
LoraWAN 2 gateways,0.2,4988,68,180,1000000,215,6496,229448,1155,0,6496,5057,7,-5056,0,0
LoraWAN 3 gateways,0.2,6075,81,180,1000000,215,6496,279450,1155,0,6496,6155,7,-6156,0,0
Multihop 1 gateways,0.3,8110,869,180,1000000,215,9128,808853,1155,31,0,8979,7,15,103,0.997082
LoraWAN 1 gateways,0.3,2951,93,180,1000000,215,8968,135746,1155,0,5924,3044,7,0,0,0
LoraWAN 2 gateways,0.3,6826,138,180,1000000,215,8968,313996,1155,0,8968,6964,7,-6964,0,0
LoraWAN 3 gateways,0.3,8381,157,180,1000000,215,8968,385526,1155,0,8968,8532,7,-8538,0,0
Multihop 1 gateways,0.4,10110,1065,180,1000000,215,11455,1002187,1155,76,0,11175,7,23,181,0.994868
LoraWAN 1 gateways,0.4,3759,117,180,1000000,215,11137,172914,1155,0,7261,3876,7,0,0,0
LoraWAN 2 gateways,0.4,8429,246,180,1000000,215,11137,387734,1155,0,11137,8675,7,-8675,0,0
LoraWAN 3 gateways,0.4,10399,233,180,1000000,215,11137,478354,1155,0,11137,10617,7,-10632,0,0
Multihop 1 gateways,0.5,11543,1601,180,1000000,215,13467,1133400,1155,77,0,13144,7,35,211,0.996043
LoraWAN 1 gateways,0.5,4309,215,180,1000000,215,12995,198214,1155,0,8471,4524,7,0,0,0
LoraWAN 2 gateways,0.5,9755,308,180,1000000,215,12995,448730,1155,0,12995,10063,7,-10063,0,0
LoraWAN 3 gateways,0.5,12039,337,180,1000000,215,12995,553794,1155,0,12995,12354,7,-12376,0,0
Multihop 1 gateways,0.6,12734,2165,180,1000000,215,15304,1246167,1155,92,0,14899,7,30,283,0.980418
LoraWAN 1 gateways,0.6,4822,205,180,1000000,215,14613,221812,1155,0,9586,5027,7,0,0,0
LoraWAN 2 gateways,0.6,10957,420,180,1000000,215,14613,504022,1155,0,14613,11377,7,-11377,0,0
LoraWAN 3 gateways,0.6,13458,434,180,1000000,215,14613,619068,1155,0,14613,13874,7,-13892,0,0
Multihop 1 gateways,0.7,13889,2496,180,1000000,215,16887,1355897,1155,129,0,16385,7,33,340,0.993928
LoraWAN 1 gateways,0.7,5153,349,180,1000000,215,16010,237038,1155,0,10508,5502,7,0,0,0
LoraWAN 2 gateways,0.7,11955,482,180,1000000,215,16010,549930,1155,0,16010,12437,7,-12437,0,0
LoraWAN 3 gateways,0.7,14695,519,180,1000000,215,16010,675970,1155,0,16010,15189,7,-15214,0,0
Multihop 1 gateways,0.8,15125,2717,180,1000000,215,18489,1475600,1155,170,0,17842,7,33,444,0.991593
LoraWAN 1 gateways,0.8,5579,322,180,1000000,215,17340,256634,1155,0,11439,5901,7,0,0,0
LoraWAN 2 gateways,0.8,12844,643,180,1000000,215,17340,590824,1155,0,17340,13487,7,-13487,0,0
LoraWAN 3 gateways,0.8,15934,548,180,1000000,215,17340,732964,1155,0,17340,16466,7,-16482,0,0
Multihop 1 gateways,0.9,15800,3451,180,1000000,215,19968,1532752,1155,186,0,19251,7,45,486,0.993952
LoraWAN 1 gateways,0.9,5992,388,180,1000000,215,18474,275632,1155,0,12094,6380,7,0,0,0
LoraWAN 2 gateways,0.9,13668,694,180,1000000,215,18474,628728,1155,0,18474,14362,7,-14362,0,0
LoraWAN 3 gateways,0.9,16969,616,180,1000000,215,18474,780574,1155,0,18474,17551,7,-17585,0,0
Multihop 1 gateways,1,15852,4544,180,1000000,215,21174,1517052,1155,199,0,20396,7,57,522,0.986096
LoraWAN 1 gateways,1,6295,411,180,1000000,215,19493,289570,1155,0,12787,6706,7,0,0,0
LoraWAN 2 gateways,1,14423,765,180,1000000,215,19493,663458,1155,0,19493,15189,7,-15188,0,0
LoraWAN 3 gateways,1,17723,853,180,1000000,215,19493,815258,1155,0,19493,18520,7,-18576,0,0
Multihop 1 gateways,0.1,3330,162,180,1000000,215,3516,374675,1155,10,0,3493,7,3,11,0.998274
LoraWAN 1 gateways,0.1,1092,4,180,1000000,215,3511,50232,1155,0,2415,1096,7,0,0,0
LoraWAN 2 gateways,0.1,1956,11,180,1000000,215,3511,89976,1155,0,3511,1967,7,-1967,0,0
LoraWAN 3 gateways,0.1,3176,26,180,1000000,215,3511,146096,1155,0,3511,3200,7,-3202,0,0
Multihop 1 gateways,0.2,6124,337,180,1000000,215,6555,680182,1155,27,0,6461,7,5,62,0.999923
LoraWAN 1 gateways,0.2,1995,47,180,1000000,215,6496,91770,1155,0,4454,2042,7,0,0,0
LoraWAN 2 gateways,0.2,3688,44,180,1000000,215,6496,169648,1155,0,6496,3733,7,-3732,0,0
LoraWAN 3 gateways,0.2,5884,77,180,1000000,215,6496,270664,1155,0,6496,5958,7,-5961,0,0
Multihop 1 gateways,0.3,8187,782,180,1000000,215,9159,907811,1155,50,0,8969,7,4,136,0.999545
LoraWAN 1 gateways,0.3,2673,83,180,1000000,215,8968,122958,1155,0,6212,2756,7,0,0,0
LoraWAN 2 gateways,0.3,5031,84,180,1000000,215,8968,231426,1155,0,8968,5115,7,-5115,0,0
LoraWAN 3 gateways,0.3,8043,185,180,1000000,215,8968,369978,1155,0,8968,8215,7,-8228,0,0
Multihop 1 gateways,0.4,10088,1178,180,1000000,215,11509,1110767,1155,46,0,11266,7,8,189,0.999629
LoraWAN 1 gateways,0.4,3364,148,180,1000000,215,11137,154744,1155,0,7625,3512,7,0,0,0
LoraWAN 2 gateways,0.4,6268,132,180,1000000,215,11137,288328,1155,0,11137,6400,7,-6400,0,0
LoraWAN 3 gateways,0.4,10001,245,180,1000000,215,11137,460046,1155,0,11137,10222,7,-10246,0,0
Multihop 1 gateways,0.5,11834,1461,180,1000000,215,13601,1303726,1155,73,0,13295,7,7,226,0.997409
LoraWAN 1 gateways,0.5,3841,174,180,1000000,215,12995,176686,1155,0,8980,4015,7,0,0,0
LoraWAN 2 gateways,0.5,7276,186,180,1000000,215,12995,334696,1155,0,12995,7462,7,-7462,0,0
LoraWAN 3 gateways,0.5,11577,338,180,1000000,215,12995,532542,1155,0,12995,11885,7,-11915,0,0
Multihop 1 gateways,0.6,12934,2108,180,1000000,215,15474,1410455,1155,107,0,15042,7,10,315,0.988191
LoraWAN 1 gateways,0.6,4397,223,180,1000000,215,14613,202262,1155,0,9993,4620,7,0,0,0
LoraWAN 2 gateways,0.6,8153,240,180,1000000,215,14613,375038,1155,0,14613,8393,7,-8393,0,0
LoraWAN 3 gateways,0.6,12987,475,180,1000000,215,14613,597402,1155,0,14613,13415,7,-13462,0,0
Multihop 1 gateways,0.7,13927,2673,180,1000000,215,17140,1523091,1155,138,0,16601,7,9,393,0.999318
LoraWAN 1 gateways,0.7,4723,222,180,1000000,215,16010,217258,1155,0,11065,4945,7,0,0,0
LoraWAN 2 gateways,0.7,8837,263,180,1000000,215,16010,406502,1155,0,16010,9100,7,-9100,0,0
LoraWAN 3 gateways,0.7,14229,491,180,1000000,215,16010,654534,1155,0,16010,14672,7,-14720,0,0
Multihop 1 gateways,0.8,15107,3034,180,1000000,215,18792,1637185,1155,172,0,18141,7,18,461,0.999341
LoraWAN 1 gateways,0.8,5017,356,180,1000000,215,17340,230782,1155,0,11967,5373,7,0,0,0
LoraWAN 2 gateways,0.8,9578,306,180,1000000,215,17340,440588,1155,0,17340,9884,7,-9884,0,0
LoraWAN 3 gateways,0.8,15322,565,180,1000000,215,17340,704812,1155,0,17340,15843,7,-15887,0,0
Multihop 1 gateways,0.9,15622,3959,180,1000000,215,20310,1675600,1155,174,0,19582,7,14,541,0.994176
LoraWAN 1 gateways,0.9,5453,331,180,1000000,215,18474,250838,1155,0,12690,5784,7,0,0,0
LoraWAN 2 gateways,0.9,10222,321,180,1000000,215,18474,470212,1155,0,18474,10544,7,-10543,0,0
LoraWAN 3 gateways,0.9,16333,642,180,1000000,215,18474,751318,1155,0,18474,16918,7,-16975,0,0
Multihop 1 gateways,1,16968,3872,180,1000000,215,21684,1824807,1155,207,0,20844,7,20,617,0.998776
LoraWAN 1 gateways,1,5748,398,180,1000000,215,19493,264408,1155,0,13347,6146,7,0,0,0
LoraWAN 2 gateways,1,10724,415,180,1000000,215,19493,493304,1155,0,19493,11141,7,-11139,0,0
LoraWAN 3 gateways,1,17201,724,180,1000000,215,19493,791246,1155,0,19493,17878,7,-17925,0,0
Multihop 1 gateways,0.1,3400,95,180,1000000,215,3514,360694,1155,2,0,3495,7,1,16,0.999936
LoraWAN 1 gateways,0.1,1050,8,180,1000000,215,3511,48300,1155,0,2453,1058,7,0,0,0
