case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
Multihop 1 gateways,1,9524,774,90,1000000,215,10776,1035792,185,983,0,10298
LoraWAN 1 gateways,1,3345,100,90,1000000,215,9792,153870,46,0,6347,3445
LoraWAN 2 gateways,1,7782,180,90,1000000,215,9792,357972,46,0,9792,7962
LoraWAN 3 gateways,1,8799,199,90,1000000,215,9792,404754,46,0,9792,8928
Multihop 1 gateways,0.1,1710,10,90,1000000,215,1741,210204,278,30,0,1720
LoraWAN 1 gateways,0.1,473,2,90,1000000,215,1739,21758,46,0,1264,475
LoraWAN 2 gateways,0.1,1101,9,90,1000000,215,1739,50646,46,0,1739,1110
LoraWAN 3 gateways,0.1,1590,6,90,1000000,215,1739,73140,46,0,1739,1596
Multihop 1 gateways,0.2,3171,67,90,1000000,215,3292,399714,278,126,0,3238
LoraWAN 1 gateways,0.2,887,14,90,1000000,215,3264,40802,46,0,2363,901
LoraWAN 2 gateways,0.2,2078,14,90,1000000,215,3264,95588,46,0,3264,2092
LoraWAN 3 gateways,0.2,2944,31,90,1000000,215,3264,135424,46,0,3264,2975
Multihop 1 gateways,0.3,4304,170,90,1000000,215,4580,532808,278,254,0,4475
LoraWAN 1 gateways,0.3,1221,10,90,1000000,215,4475,56166,46,0,3244,1231
LoraWAN 2 gateways,0.3,2853,35,90,1000000,215,4475,131238,46,0,4475,2888
LoraWAN 3 gateways,0.3,4067,29,90,1000000,215,4475,187082,46,0,4475,4095
Multihop 1 gateways,0.4,5382,238,90,1000000,215,5778,664212,278,302,0,5620
LoraWAN 1 gateways,0.4,1520,24,90,1000000,215,5587,69920,46,0,4043,1544
LoraWAN 2 gateways,0.4,3543,79,90,1000000,215,5587,162978,46,0,5587,3622
LoraWAN 3 gateways,0.4,4997,93,90,1000000,215,5587,229862,46,0,5587,5085
Multihop 1 gateways,0.5,6305,314,90,1000000,215,6852,771966,278,447,0,6618
LoraWAN 1 gateways,0.5,1817,24,90,1000000,215,6526,83582,46,0,4685,1841
LoraWAN 2 gateways,0.5,4125,66,90,1000000,215,6526,189750,46,0,6526,4191
LoraWAN 3 gateways,0.5,5842,110,90,1000000,215,6526,268732,46,0,6526,5947
Multihop 1 gateways,0.6,6890,614,90,1000000,215,7826,846467,278,582,0,7504
LoraWAN 1 gateways,0.6,2058,40,90,1000000,215,7361,94668,46,0,5263,2098
LoraWAN 2 gateways,0.6,4645,96,90,1000000,215,7361,213670,46,0,7361,4741
LoraWAN 3 gateways,0.6,6589,143,90,1000000,215,7361,303094,46,0,7361,6722
Multihop 1 gateways,0.7,7672,695,90,1000000,215,8691,932288,278,615,0,8368
LoraWAN 1 gateways,0.7,2177,62,90,1000000,215,8035,100142,46,0,5795,2239
LoraWAN 2 gateways,0.7,5084,103,90,1000000,215,8035,233864,46,0,8034,5187
LoraWAN 3 gateways,0.7,7156,176,90,1000000,215,8035,329176,46,0,8034,7328
Multihop 1 gateways,0.8,8443,613,90,1000000,215,9503,1020927,278,717,0,9055
LoraWAN 1 gateways,0.8,2365,34,90,1000000,215,8677,108790,46,0,6278,2399
LoraWAN 2 gateways,0.8,5482,127,90,1000000,215,8677,252172,46,0,8677,5610
LoraWAN 3 gateways,0.8,7716,209,90,1000000,215,8677,354936,46,0,8677,7922
Multihop 1 gateways,0.9,8788,857,90,1000000,215,10217,1049928,278,1130,0,9645
LoraWAN 1 gateways,0.9,2490,60,90,1000000,215,9263,114540,46,0,6713,2550
LoraWAN 2 gateways,0.9,5860,144,90,1000000,215,9263,269560,46,0,9263,6004
LoraWAN 3 gateways,0.9,8263,201,90,1000000,215,9263,380098,46,0,9263,8452
Multihop 1 gateways,1,9018,1226,90,1000000,215,10916,1072066,278,1538,0,10244
