case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
LoraWAN 3 gateways,0.9,26297,40955,200,2000000,431.63,40958,1235959,492.428
Multihop 1 gateways,1,7727,26445,200,2000000,71.9383,34174,1319760,492.428
LoraWAN 1 gateways,1,3403,39758,200,2000000,431.63,43162,159941,492.428
LoraWAN 2 gateways,1,25963,43161,200,2000000,431.63,43162,1220261,492.428
LoraWAN 3 gateways,1,33988,43161,200,2000000,431.63,43162,1597436,492.428
Multihop 1 gateways,0.1,745,1955,200,2000000,39.2391,2700,124033,492.428
LoraWAN 1 gateways,0.1,952,6878,200,2000000,431.63,7830,44744,492.428
LoraWAN 2 gateways,0.1,2694,7830,200,2000000,431.63,7830,126618,492.428
LoraWAN 3 gateways,0.1,5058,7830,200,2000000,431.63,7830,237726,492.428
Multihop 1 gateways,0.2,2514,4709,200,2000000,71.9383,7223,325052,492.428
LoraWAN 1 gateways,0.2,1478,12925,200,2000000,431.63,14403,69466,492.428
LoraWAN 2 gateways,0.2,9530,14403,200,2000000,431.63,14403,447910,492.428
LoraWAN 3 gateways,0.2,7600,14403,200,2000000,431.63,14403,357200,492.428
Multihop 1 gateways,0.3,2527,7282,200,2000000,53.9537,9809,410498,492.428
LoraWAN 1 gateways,0.3,2179,17800,200,2000000,431.63,19979,102413,492.428
LoraWAN 2 gateways,0.3,7974,19979,200,2000000,431.63,19979,374778,492.428
LoraWAN 3 gateways,0.3,15826,19979,200,2000000,431.63,19979,743822,492.428
Multihop 1 gateways,0.4,2970,7290,200,2000000,47.9589,10260,422107,492.428
LoraWAN 1 gateways,0.4,3366,21415,200,2000000,431.63,24781,158202,492.428
LoraWAN 2 gateways,0.4,9727,24781,200,2000000,431.63,24781,457169,492.428
LoraWAN 3 gateways,0.4,18157,24781,200,2000000,431.63,24781,853379,492.428
Multihop 1 gateways,0.5,5129,14574,200,2000000,71.9383,19703,847504,492.428
LoraWAN 1 gateways,0.5,3331,25619,200,2000000,431.63,28950,156557,492.428
LoraWAN 2 gateways,0.5,15860,28950,200,2000000,431.63,28950,745420,492.428
LoraWAN 3 gateways,0.5,17737,28950,200,2000000,431.63,28950,833639,492.428
Multihop 1 gateways,0.6,4161,12942,200,2000000,47.9589,17104,707679,492.428
LoraWAN 1 gateways,0.6,3659,28893,200,2000000,431.63,32552,171973,492.428
LoraWAN 2 gateways,0.6,20845,32552,200,2000000,431.63,32552,979715,492.428
LoraWAN 3 gateways,0.6,24664,32552,200,2000000,431.63,32552,1159208,492.428
Multihop 1 gateways,0.7,5075,18177,200,2000000,53.9537,23254,982629,492.428
LoraWAN 1 gateways,0.7,4801,30819,200,2000000,431.63,35620,225647,492.428
LoraWAN 2 gateways,0.7,13821,35620,200,2000000,431.63,35620,649587,492.428
LoraWAN 3 gateways,0.7,24592,35620,200,2000000,431.63,35620,1155824,492.428
Multihop 1 gateways,0.8,5535,16322,200,2000000,53.9537,21857,886655,492.428
LoraWAN 1 gateways,0.8,3804,34659,200,2000000,431.63,38465,178788,492.428
LoraWAN 2 gateways,0.8,17320,38463,200,2000000,431.63,38465,814040,492.428
LoraWAN 3 gateways,0.8,32417,38463,200,2000000,431.63,38465,1523599,492.428
Multihop 1 gateways,0.9,5285,17978,200,2000000,47.9589,23263,911048,492.428
LoraWAN 1 gateways,0.9,3936,37019,200,2000000,431.63,40958,184992,492.428
LoraWAN 2 gateways,0.9,24504,40955,200,2000000,431.63,40958,1151688,492.428
LoraWAN 3 gateways,0.9,28034,40955,200,2000000,431.63,40958,1317598,492.428
Multihop 1 gateways,1,9567,26384,200,2000000,86.326,35951,1430445,492.428
LoraWAN 1 gateways,1,3510,39651,200,2000000,431.63,43162,164970,492.428
LoraWAN 2 gateways,1,13909,43161,200,2000000,431.63,43162,653723,492.428
LoraWAN 3 gateways,1,35170,43161,200,2000000,431.63,43162,1652990,492.428
Multihop 1 gateways,0.1,1113,2806,200,2000000,61.6614,3919,178177,492.428
LoraWAN 1 gateways,0.1,741,7089,200,2000000,431.63,7830,34827,492.428
LoraWAN 2 gateways,0.1,2691,7830,200,2000000,431.63,7830,126477,492.428
LoraWAN 3 gateways,0.1,6676,7830,200,2000000,431.63,7830,313772,492.428
Multihop 1 gateways,0.2,1771,6506,200,2000000,71.9383,8277,277723,492.428
LoraWAN 1 gateways,0.2,1563,12840,200,2000000,431.63,14403,73461,492.428
LoraWAN 2 gateways,0.2,5084,14403,200,2000000,431.63,14403,238948,492.428
LoraWAN 3 gateways,0.2,12412,14403,200,2000000,431.63,14403,583364,492.428
Multihop 1 gateways,0.3,2779,9005,200,2000000,71.9383,11784,450965,492.428
LoraWAN 1 gateways,0.3,1517,18462,200,2000000,431.63,19979,71299,492.428
LoraWAN 2 gateways,0.3,8515,19979,200,2000000,431.63,19979,400205,492.428
LoraWAN 3 gateways,0.3,18137,19979,200,2000000,431.63,19979,852439,492.428
Multihop 1 gateways,0.4,4219,10741,200,2000000,71.9383,14960,642067,492.428
LoraWAN 1 gateways,0.4,2129,22652,200,2000000,431.63,24781,100063,492.428
LoraWAN 2 gateways,0.4,15889,24781,200,2000000,431.63,24781,746783,492.428
LoraWAN 3 gateways,0.4,14406,24781,200,2000000,431.63,24781,677082,492.428
Multihop 1 gateways,0.5,4441,11142,200,2000000,61.6614,15583,671066,492.428
LoraWAN 1 gateways,0.5,3164,25786,200,2000000,431.63,28950,148708,492.428
LoraWAN 2 gateways,0.5,19468,28950,200,2000000,431.63,28950,914996,492.428
LoraWAN 3 gateways,0.5,27293,28950,200,2000000,431.63,28950,1282771,492.428
